id,name,party,sector,country
UVDL,Ursula von der Leyen,CDU,1,1
LK,Lars Klingbeil,SPD,1,1
NR,Norbert Röttgen,CDU,1,1
SW,Sahra Wagenknecht,Linke,1,1
CS,Constanze Stelzenmüller,KEINE,2,1
500,Folge 500,KEINE,NA,NA
CL,Christian Lindner,FDP,1,1
KS,Karl Schlögel,KEINE,3,3
LM,Ljudmyla Melnyk,KEINE,4,2
KD,Kristina Dunz,KEINE,2,1
EL,Egils Levits,KEINE,1,4
501,Folge 501,KEINE,NA,NA
500,Folge 500,KEINE,NA,NA
502,Folge 502,KEINE,NA,NA
AB,Annalena Baerbock,Grüne,1,1
FT,Frans Timmermans,KEINE,1,5
AM,Andrij Melnyk,KEINE,1,2
AGL,Alexander Graf Lambsdorff,FDP,1,1
ER,Egon Ramms,KEINE,5,1
503,Folge 503,KEINE,NA,NA
RH,Robert Habeck,Grüne,1,1
CM,Claudia Major,KEINE,1,1
KP,Katja Petrowskaja,KEINE,2,1
RK,Roderich Kiesewetter,CDU,1,1
CDU,Christlich Demokratische Union,CDU,NA,NA
SPD,Sozoialdemokratische Partei Deutschland,SPD,NA,NA
Linke,Die Linke,Linke,NA,NA
Grüne,Bündnis 90/Die Grüne,Grüne,NA,NA
FDP,Freie Demokratische Partei,FDP,NA,NA
KEINE,Keine Partei,NA,NA,NA
