from,to,relation
HPR,ME,5
HPR,TT,5
MF,ME,5
MF,MR,3
MF,Polizei,1
MF,Telegram,1
MF,Coronademo,2
MF,Basis,1
ME,HPR,5
ME,MF,5
ME,PW,5
ME,Bundeswehr,1
ME,KSK,1
ME,QAnon,1
ME,Ahrtal,2
ME,Telegram,1
CW,Coronademo,2
CW,AfD,1
CW,VerPat,1
RHL,AfD,1
RP,PW,4
RP,BMW,5
RP,Bundeswehr,1
RP,Coronademo,2
PG,Coronademo,2
MH,Bundeswehr,1
MH,KSK,1
MH,Ahrtal,2
MR,MF,3
PW,ME,5
PW,RP,4
PW,Bundeswehr,1
PW,VerPat,1
PW,Ahrtal,2
RR,Coronademo,2
BMW,RP,5
BMW,AfD,1
BMW,QAnon,1
AM,Bundeswehr,1
AM,KSK,1
TT,HPR,5
Bundeswehr,KSK,1
KSK,Bundeswehr,1
